ISSUER_NAME,No. 
SBAB Bank AB (publ),17518
Volvo Treasury AB,17519
Kommuninvest i Sverige Aktiebolag,17520
Vattenfall Treasury AB,17521
Stadshypotek AB,17522
Landshypotek Bank Aktiebolag,17523
Skanska Financial Services AB,17525
Vasakronan AB,17526
Vattenfall AB,17527
AB SCA Finans,17528
Scania CV AB,17530
Assa Abloy Financial Services AB,17531
Fysikhuset Stockholm KB,17533
Sparbanken Oresund AB,17534
NCC Treasury AB,17535
Skandiabanken Aktiebolag (publ),17536
Danske Bank A/S,17537
Nordea Hypotek AB,17538
Kommunkredit Ab,17539
Handelsbanken Capital Markets,17540
Boliden Mineral AB,17541
If Skadeforsakring Holding AB (publ),17542
Rodamco Sverige AB,17543
Nordax Bank AB (publ),17544
Toyota Industries Finance International AB (pu,17545
Sveriges Saekerstaellda Obligationer AB,17546
Scandinavian Airlines System Aktiebolag,17547
If Skadeforsakring AB (publ),17548
Lansforsakringar Hypotek AB,17549
Svenska Volkswagen Finans Ab,17550
MB Finance AB (publ),17552
Candyking Sverige AB,17553
Volkswagen Finans Sverige AB,17554
Sandvik Treasury Aktiebolag (publ),17555
Perstorp Holding AB,17556
eWork Group AB,17557
Hexpol AB,17559
Akzo Nobel Sweden Finance AB,17563
Loomis AB,17564
Nynas AB (publ),17566
HOIST Kredit Aktiebolag,17567
PKO Finance AB,17571
TVN Finance Corporation III AB (publ),17572
Dedicare AB (publ),17577
Cyfrowy Polsat Finance AB,17578
Concentric AB,17580
