ISSUER_NAME,No. 
"DUKE ENERGY FLORIDA PROJECT FINANCE, LLC",24342
SWITCH LTD.,24344
"I3 VERTICALS, LLC",24347
KFC HOLDING CO.,24348
"First Financial Bank, National Association",24349
"ENTERGY GULF STATES LOUISIANA, LLC",24351
"HERTZ GLOBAL HOLDINGS, INC.",24352
CROWLEY BLUE WATER PARTNERS LLC,24353
"DIAGEO NORTH AMERICA, INC.",24356
"FBM FINANCE, INC.",24359
HILTON ESCROW ISSUER LLC,24364
ADIENT US LLC,24368
"SHIFT4 PAYMENTS, LLC",24371
LAFARGEHOLCIM FINANCE US LLC,24373
"KITE REALTY GROUP, L.P.",24374
HILTON DOMESTIC OPERATING COMPANY INC.,24379
"DONNELLEY FINANCIAL SOLUTIONS, INC.",24380
HARBORONE BANK,24382
Fulgent Genetics Inc,24384
VERTIV GROUP CORPORATION,24385
JAGGED PEAK ENERGY LLC,24389
"COLONY CAPITAL OPERATING COMPANY, LLC",24392
Metabank,24393
TRIMBLE INC.,24398
"FORTERRA, INC.",24399
NATIONWIDE BANK,24412
HILTON GRAND VACATIONS BORROWER LLC,24413
"FORTERRA FINANCE, LLC",24417
"CONDUENT FINANCE, INC.",24418
CONDUENT INCORPORATED,24419
Arch Capital Finance LLC,24421
Tessera Holding Corporation,24422
BofA Finance LLC,24423
Ichor Holdings Ltd,24424
Banco Davivienda S.A (Miami Branch),24425
SKANDINAVISKA ENSKILDA BANKEN AB,24426
PARK INTERMEDIATE HOLDINGS LLC,24431
VISTRA OPERATIONS COMPANY LLC,24432
"CRH AMERICA FINANCE, INC.",24434
"COLONY NORTHSTAR, INC.",24436
"SOUTHWEST GAS, LLC",24438
"KEANE GROUP, INC.",24439
VFH PARENT LLC,24441
NICE SYSTEMS INC.,24442
"NRF HOLDCO, LLC",24443
"FLEX ACQUISITION COMPANY, INC.",24444
