Target Name,Target No.
Banca Sai S.p.A.,12273
"BANCAJA EMISIONES, S.A.U.",8037
BANCASSURANCE POPOLARI S.P.A.,12327
BANCO ABN AMRO REAL S.A.,4093
BANCO ABN AMRO S.A.,4504
"BANCO BAC DE PANAMA, S.A.",16761
"Banco BAC San Jose, S.A.",7356
"Banco Banif, S.A.",8096
Banco Banorte S.A,4114
Banco Bilbao Vizcaya SA,21306
Banco BNP Paribas Brasil S.A.,4135
Banco Bocom BBM S.A.,4120
BANCO BONSUCESSO CONSIGNADO S/A,4375
"BANCO BPI CAYMAN, LTD.",14811
Banco BTG Pactual Chile,5786
BANCO CENTROAMERICANO DE INTEGRACION ECONOMICA,7355
Banco Centroamericano de Integracion Economica,10664
Banco Cetelem Argentina S.A.,2797
Banco Cidade SA,4172
Banco Citibank S.A.,4094
BANCO COLPATRIA MULTIBANCA COLPATRIA S.A.,7283
"Banco Compartamos, S.A., Institucion de Banca",15541
BANCO CREDIBOM S.A.,17052
BANCO CREDIT AGRICOLE BRASIL S.A.,4090
BANCO CREDIT SUISSE (BRASIL) S.A.,4113
"BANCO CREDIT SUISSE (MEXICO), S.A.",15612
BANCO CSF S/A,4412
Banco Davivienda S.A (Miami Branch),24425
Banco de Bogota S.A. (New York Branch),25058
"Banco de Caja Espana de Inversiones, Salamanca",8113
"BANCO DE CASTILLA-LA MANCHA, S.A.",8100
Banco de Credito de Bolivia Sociedad Anonima,3943
Banco de Credito del Peru (Panama Branch),16755
BANCO DE CREDITO SOCIAL COOPERATIVO SA,8136
"Banco de Investimento Imobiliario, S.A.",17044
Banco de Investimentos Credit Suisse (Brasil),4103
BANCO DE SERVICIOS FINANCIEROS S.A.,2805
Banco del Desarrollo Economico Espanol SA,7977
Banco di Brescia San Paolo CAB S.p.A.,12171
Banco di Napoli SpA,12109
Banco di San Giorgio S.p.A.,12216
Banco do Brasil S.A. Tokyo Branch,13706
Banco Emiliano Romagnolo SpA,12300
Banco Espirito Santo de Investimento SA,17046
Banco Espirito Santo SA (Cayman Islands Branch,14795
Banco Falabella Colombia S.A.,7320
BANCO FIDIS S/A,4161
"BANCO GALLEGO, S.A.",8006
Banco General S.A.,16743
BANCO GMAC S.A.,4178
"Banco Grupo Cajatres, S.A.U.",8111
BANCO HONDA S/A.,4440
Banco HSBC (Costa Rica) S.A.,7352
BANCO IBM S.A.,4131
"Banco Internacional de Mocambique, SA.",16032
"Banco Itau Argentina, S.A.",2798
"Banco Itau BBA International, S.A.",17038
"Banco Itau BBA International, S.A.",9432
"Banco Itau BBA, S.A.",4570
"Banco Itau BBA, S.A.",4091
Banco Itau Chile S.A.,5765
Banco Itau Paraguay S.A.,17082
BANCO J.P. MORGAN S.A.,4117
"Banco J.P. Morgan, S.A.",15589
Banco John Deere S.A.,4505
"BANCO MARE NOSTRUM, S.A.",8101
BANCO MERCANTIL DE SAO PAULO S.A.,4119
"Banco Mercantil del Norte, S.A.",14881
"Banco Mercantil del Norte, S.A.",15592
BANCO MERCEDES BENZ DO BRASIL S.A.,4300
"Banco Nacional de Mexico, S.A.",15576
"Banco OCBC Weng Hang, S.A.",15483
BANCO PARIS,5767
Banco Popolare di Verona e Novara (Luxembourg),15170
Banco Popolare Societa Cooperativa,9352
Banco Popular North America,22125
"Banco Popular Portugal, S.A.",17059
BANCO PROCREDIT COLOMBIA S.A.,7318
Banco Rabobank International Brasil S.A.,4149
BANCO RCI BRASIL SA,4395
"Banco Sabadell, S.A., Institucion de Banca Mul",15675
BANCO SAFRA (CAYMAN ISLANDS) LIMITED,14664
BANCO SAFRA S.A.,4088
